title	scholar_bibliographic_line	seen_on
Complexity of learning matchings and half graphs via edge queries	NS Mande, S Sanyal, V Zamaraev - arXiv preprint arXiv:2507.03151, 2025 - arxiv.org	Aigner 1988 p10
Group testing	F Cicalese - … Tolerant Search Algorithms: Reliable Computation with …, 2013 - Springer	Aigner 1988 p10
A novel fast fractal image compression based on reinforcement learning	B Varghese, S Krishnakumar - International Journal of …, 2019 - inderscienceonline.com	Aigner 1988 p10
On polychotomous search problems	K Hinderer, M Stieglitz - European journal of operational research, 1994 - Elsevier	Aigner 1988 p10
A Unified Vista and Juxtaposed Study on k-ary Search Algorithms	A Dutta, S Ray, PK Kumar… - 2024 2nd …, 2024 - ieeexplore.ieee.org	Aigner 1988 p10
Computing majority with triple queries	G De Marco, E Kranakis, G Wiener - Theoretical Computer Science, 2012 - Elsevier	Aigner 1988 p10
Binary search with delayed and missing answers	F Cicalese, U Vaccaro - Information processing letters, 2003 - Elsevier	Aigner 1988 p10
Effective search problems	M Kummer, F Stephan - Mathematical Logic Quarterly, 1994 - Wiley Online Library	Aigner 1988 p10
[BOOK][B] Sequential and parallel processing in depth search machines	A Kapralski - 1994 - books.google.com	Aigner 1988 p11
Optimal query complexity for reconstructing hypergraphs	NH Bshouty, H Mazzawi - arXiv preprint arXiv:1001.0405, 2010 - arxiv.org	Aigner 1988 p11
Statistical two-round search for one excellent element	JS Kim - arXiv preprint arXiv:2605.15612, 2026 - arxiv.org	Aigner 1988 p11
[HTML][HTML] Counting linear extension majority cycles in partially ordered sets on up to 13 elements	K De Loof, B De Baets, H De Meyer - Computers & mathematics with …, 2010 - Elsevier	Aigner 1988 p11
Coping with delays and time-outs in binary search procedures	F Cicalese, U Vaccaro - International Symposium on Algorithms and …, 2000 - Springer	Aigner 1988 p11
On the recognition complexity of some graph properties	E Triesch - Combinatorica, 1996 - Springer	Aigner 1988 p11
Polynomial-time quantum algorithms for finding the linear structures of Boolean function	WQ Wu, HG Zhang, HZ Wang, SW Mao - Quantum Information Processing, 2015 - Springer	Aigner 1988 p11
Searching dynamically bundled goods with pairwise relations	YC Chang, CS Li, JR Smith - Proceedings of the 4th ACM conference on …, 2003 - dl.acm.org	Aigner 1988 p11
Optimal and myopic search in a binary random vector	A Dor, E Greenshtein, E Korach - Journal of applied probability, 1998 - cambridge.org	Aigner 1988 p11
The complexity of adaptive error-correcting codes	D Mundici - International Workshop on Computer Science Logic, 1990 - Springer	Aigner 1988 p11
Coins with arbitrary weights	N Alon, DN Kozlov - Journal of Algorithms, 1997 - Elsevier	Aigner 1988 p12
[HTML][HTML] Optimal detection of two counterfeit coins with two-arms balance	L Wen-An, N Zan-Kan - Discrete applied mathematics, 2004 - Elsevier	Aigner 1988 p12
Realizing Graphs with Cut Constraints	LO Silva, VG Chagas, SP de Paula… - arXiv preprint arXiv …, 2025 - arxiv.org	Aigner 1988 p12; Aigner 1988 p14
Finding at least one excellent element in two rounds	GOH Katona - Journal of Statistical Planning and Inference, 2011 - Elsevier	Aigner 1988 p12
Fault-tolerance and Rota-Metropolis cubic logic	D Mundici - Paraconsistency, 2002 - taylorfrancis.com	Aigner 1988 p12
Linear extension majority cycles for small (n⩽ 9) partial orders	WV Gehrlein, PC Fishburn - Computers & Mathematics with Applications, 1990 - Elsevier	Aigner 1988 p12
[BOOK][B] Branch and bound methods for sequentially choosing some among several competing projects	K Gursoy - 1997 - search.proquest.com	Aigner 1988 p12
Two colors and more	M Aigner - Entropy, Search, Complexity, 2007 - Springer	Aigner 1988 p12
Search when the lie depends on the target	GOH Katona, K Tichler - … Theory, Combinatorics, and Search Theory: In …, 2013 - Springer	Aigner 1988 p12
