+0,46.0,6.0,6.0,6,,,,,,6,,,,,,,18,,276,7.666666667,0.1086956522,5.458716854,5.612050187
+1,46.0,7.0,6.0,7,,,,,,,,,,,,,,,322,6.571428571,0.1304347826,5.608433028,5.739861599
+1,45.0,7.0,6.0,7,,,,,,,,,,,,,,,315,6.428571429,0.1333333333,5.587086396,5.715657825
+1,44.0,7.0,6.0,7,,,,,,,,,,,,,,,308,6.285714286,0.1363636364,5.565260025,5.69097431
+1,43.0,7.0,6.0,7,,,,,,,,,,,,,,,301,6.142857143,0.1395348837,5.542931854,5.665788997
+0,42.0,7.0,6.0,6,,,,,,7,,,,,,,22,,294,6,0.1428571429,5.520078266,5.640078266
+1,42.0,8.0,6.0,7,,,,,,,,,,,,,,,336,5.25,0.1666666667,5.649768315,5.754768315
+1,41.0,8.0,6.0,7,,,,,,,,,,,,,,,328,5.125,0.1707317073,5.626363986,5.728863986
+1,40.0,8.0,6.0,7,,,,,,,,,,,,,,,320,5,0.175,5.602381715,5.702381715
+1,39.0,8.0,6.0,7,,,,,,,,,,,,,,,312,4.875,0.1794871795,5.577792233,5.675292233
+0,38.0,8.0,6.0,6,,,,,,8,,,,,,,26,,304,4.75,0.1842105263,5.552563992,5.647563992
+1,38.0,9.0,6.0,7,,,,,,,,,,,,,,,342,4.222222222,0.2105263158,5.666958723,5.751403167
+1,37.0,9.0,6.0,7,,,,,,,,,,,,,,,333,4.111111111,0.2162162162,5.64105765,5.723279872
+0,36.0,9.0,6.0,6,,,,,,9,,,,,,,28,,324,4,0.2222222222,5.614446872,5.694446872
+1,36.0,10.0,6.0,7,,,,,,,,,,,,,,,360,3.6,0.25,5.716776445,5.788776445
+1,35.0,10.0,6.0,7,,,,,,,,,,,,,,,350,3.5,0.2571428571,5.689415969,5.759415969
+1,34.0,10.0,6.0,7,,,,,,,,,,,,,,,340,3.4,0.2647058824,5.661262327,5.729262327
+0,33.0,10.0,6.0,6,,,,,,10,,,,,,,31,,330,3.3,0.2727272727,5.632268154,5.698268154
+1,33.0,11.0,6.0,7,,,,,,,,,,,,,,,363,3,0.303030303,5.724836513,5.784836513
+1,32.0,11.0,6.0,7,,,,,,,,,,,,,,,352,2.909090909,0.3125,5.694950074,5.753131892
+0,31.0,11.0,6.0,6,,,,,,11,,,,,,,33,,341,2.818181818,0.3225806452,5.664114701,5.720478337
+1,31.0,12.0,6.0,7,,,,,,,,,,,,,,,372,2.583333333,0.3548387097,5.748622992,5.800289658
+1,30.0,12.0,6.0,7,,,,,,,,,,,,,,,360,2.5,0.3666666667,5.716776445,5.766776445
+0,29.0,12.0,6.0,6,,,,,,12,,,,,,,35,,348,2.416666667,0.3793103448,5.683850151,5.732183484
+1,29.0,13.0,6.0,7,,,,,,,,,,,,,,,377,2.230769231,0.4137931034,5.761590242,5.806205627
+1,28.0,13.0,6.0,7,,,,,,,,,,,,,,,364,2.153846154,0.4285714286,5.727508407,5.77058533
+0,27.0,13.0,6.0,6,,,,,,13,,,,,,,37,,351,2.076923077,0.4444444444,5.692186963,5.733725425
+1,27.0,14.0,6.0,7,,,,,,,,,,,,,,,378,1.928571429,0.4814814815,5.764163046,5.802734474
+1,26.0,14.0,6.0,7,,,,,,,,,,,,,,,364,1.857142857,0.5,5.727508407,5.764651264
+0,25.0,14.0,6.0,6,,,,,,14,,,,,,,39,,350,1.785714286,0.52,5.689415969,5.725130255
+1,25.0,15.0,6.0,7,,,,,,,,,,,,,,,375,1.666666667,0.56,5.756424099,5.789757432
+0,24.0,15.0,6.0,6,,,,,,15,,,,,,,40,,360,1.6,0.5833333333,5.716776445,5.748776445
+1,24.0,16.0,6.0,7,,,,,,,,,,,,,,,384,1.5,0.625,5.779458364,5.809458364
+1,23.0,16.0,6.0,7,,,,,,,,,,,,,,,368,1.4375,0.652173913,5.738123077,5.766873077
+0,22.0,16.0,6.0,6,,,,,,16,,,,,,,42,,352,1.375,0.6818181818,5.694950074,5.722450074
+1,22.0,17.0,6.0,7,,,,,,,,,,,,,,,374,1.294117647,0.7272727273,5.753830686,5.779713039
+0,21.0,17.0,6.0,6,,,,,,17,,,,,,,43,,357,1.235294118,0.7619047619,5.708648928,5.73335481
+1,21.0,18.0,6.0,7,,,,,,,,,,,,,,,378,1.166666667,0.8095238095,5.764163046,5.787496379
+0,20.0,18.0,6.0,6,,,,,,18,,,,,,,44,,360,1.111111111,0.85,5.716776445,5.738998667
+1,20.0,19.0,6.0,7,,,,,,,,,,,,,,,380,1.052631579,0.9,5.769288296,5.790340927
+0,19.0,19.0,6.0,6,,,,,,19,,,,,,,45,,361,1,0.9473684211,5.719470573,5.739470573
+1,129.0,1.0,7.0,8,,,,,,,,,,,,,,,129,129,0,4.720008503,7.300008503
+0,128.0,1.0,7.0,7,,,,,,,1,,,,,,,0,128,128,0,4.712450234,7.272450234
+1,128.0,2.0,7.0,8,,,,,,,,,,,,,,,256,64,0.0078125,5.385657411,6.665657411
+0,127.0,2.0,7.0,7,,,,,,,2,,,,,,,1,254,63.5,0.007874015748,5.378039861,6.648039861
+1,127.0,3.0,7.0,8,,,,,,,,,,,,,,,381,42.33333333,0.0157480315,5.771840814,6.618507481
